"Total population by geographic location (based on 2000, 2010 and 2015 Censuses)"

"Geographic Location","2015"
"..National Capital Region (NCR)",12877253
"..Cordillera Administrative Region (CAR)",1722006
"..Region I (Ilocos Region)",5026128
"..Region II (Cagayan Valley)",3451410
"..Region III (Central Luzon)",11218177
"..Region IV-A (Calabarzon)",14414774
"..Region V (Bicol Region)",5796989
"..Region VI (Western Visayas)",4477247
"..Region VII (Central Visayas)",6041903
"....Region VIII (Eastern Visayas)",4440150
"..Region IX (Zamboanga Peninsula)",3629783
"..Region X (Northern Mindanao)",4689302
"....Region XI (Davao Region)",4893318
"..Region XII (SOCCSKSARGEN)",4545276
"..Region XIII (Caraga)",2596709
